"language","title","reference_number","solicitation_number","amendment_number","publication_date","date_closing","amendment_date","publishing_status","gsin","region_opportunity","region_delivery","notice_type","trade_agreement","tendering_procedure","competitive_procurement_strategy","non_competitive_procurement_strategy","procurement_entity","end_user_entity","description","contact","document","attachment"
"English","SPARES FOR VICTORIA CLASS SUBMARINE (GRK(W8482-146269/000/A))","PW-14-00632891","GRK(W8482-146269/000/A)","000","2014-04-29","2014-06-09 14:00 Eastern Standard Time (EST)","","Active","N3120: Bearings, Plain, Unmounted, N4720: Hose and Flexible Tubing, N4730: Hose, Pipe, Tube, Lubrication, and Railing Fittings, N4820: Valves, Nonpowered, N5307: Studs, N5330: Packing and Gasket Material, N5331: O-Ring, N5360: Coil, Flat and Wire Springs","World","British Columbia, Nova Scotia","APM-NPP","Agreement on Internal Trade (AIT) North America Free Trade Agreement (NAFTA)","Open","","","Public Works & Government Services Canada","Public Works & Government Services Canada","The Department of National Defence has a requirement for spare parts (24 line items) in support of the Victoria Class Submarines, which are to be delivered to Halifax, Nova Scotia and to Victoria, British-Columbia, such as:  Item No.: 0015, NSN: 4720-99-752-2270, HOSE ASSEMBLY, NONMETALLIC Quantity: 3, Unit of Issue: Each Quality Assurance Code: Q P/N: PA 1570; NCAGE: 36718 P/N: NFH 7964; NCAGE: K6455  Item No.: 0020 & 0021, NSN: 5360-99-771-3788, SPRING, HELICAL, COMPRESSION Quantity: 180, Unit of Issue: Each Quality Assurance Code: Q (Subject to Submarine Safety requirements) P/N: 13/Y/533/0020/M001/103; NCAGE: K6451  Item No.: 0023 & 0024, NSN: 5331-99-906-3554, O-RING Quantity: 48, Unit of Issue: Each Quality Assurance Code: C P/N: MX/00676/CN/002/05; NCAGE: K6451  All NCAGE’s for this requirement: KD667; K6451; K0640; U1068; U8616; 36718; K6455; K2516; U6183; L6427; K0851; K5059  Delivery Date Required: As soon as possible.  Requests for complete bid packages should be directed to the Contracting Authority below.  The Crown retains the right to negotiate with suppliers on any procurement. Documents may be submitted in either official language of Canada.","Pekrul, Sonja, +49 261-98252-25, +49 261-98252-28, Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca, Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne sonja.pekrul@tpsgc-pwgsc.gc.ca","",""
"French","PIÈCES DE RECHANGE POUR SOUS-MARIN DE CLASSE VICTORIA (GRK(W8482-146269/000/A))","PW-14-00632891","GRK(W8482-146269/000/A)","000","2014-04-29","2014-06-09 14:00 Eastern Standard Time (EST)","","Active","N3120: Bearings, Plain, Unmounted, N4720: Hose and Flexible Tubing, N4730: Hose, Pipe, Tube, Lubrication, and Railing Fittings, N4820: Valves, Nonpowered, N5307: Studs, N5330: Packing and Gasket Material, N5331: O-Ring, N5360: Coil, Flat and Wire Springs","World","British Columbia, Nova Scotia","APM-NPP","Agreement on Internal Trade (AIT) North America Free Trade Agreement (NAFTA)","Open","","","Public Works & Government Services Canada","Public Works & Government Services Canada","Le Ministère de la Défense Nationale a besoin de procurer des pièces de rechange (24 articles) pour le support des sous-marins de classe victoria, avec livraison à Halifax, Nouvelle Écosse, et Victoria, Colombie-Britannique, tel que:  Article No.: 0015, NNO: 4720-99-752-2270, TUYAUTERIE NON METALLIQUE, FLEXIBLE Quantité: 3, Unité de distribution: Chacune Code d'assurance de la qualité: Q P/N: PA 1570; COEEP: 36718 P/N: NFH 7964; CPEEP: K6455  Article No.: 0020 & 0021, NNO: 5360-99-771-3788, RESSORT, HELICOIDAL, COMPRESSION Quantité: 180, Unité de distribution: Chacune Code d'assurance de la qualité: Q (sujet de sécurité des sous-marines) P/N: 13/Y/533/0020/M001/103; NCAGE: K6451  Article No.: 0023 & 0024, NNO: 5331-99-906-3554, JOINT TORIQUE Quantité: 48, Unité de distribution: Chacune Code d'assurance de la qualité: C P/N: MX/00676/CN/002/05; NCAGE: K6451  Tout COEEP’s pour ce besoin: KD667; K6451; K0640; U1068; U8616; 36718; K6455; K2516; U6183; L6427; K0851; K5059  Date de livraison requise: Le plutôt possible.  Les demandes de dossiers pour les soumissions doivent être adressées à l’autorité contractante suivante.  La couronne a le droit exclusif de négocier tout genre d'approvisionnement avec les fournisseurs. Les documents peuvent être soumis dans n'importe quelle langue officielle du Canada.","Pekrul, Sonja, +49 261-98252-25, +49 261-98252-28, Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca, Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne sonja.pekrul@tpsgc-pwgsc.gc.ca","",""
"English","Paving Parking Lot – St Anthony, 65 West Street, Newfoundland (M1010-5-0187)","PW-14-00632902","M1010-5-0187","000","2014-04-29","2014-05-20 14:00 Atlantic Daylight Time (ADT)","","Active","51: Construction Services","Newfoundland and Labrador","Newfoundland and Labrador","AO-ITT","Agreement on Internal Trade (AIT)","Open","","","Royal Canadian Mounted Police","Royal Canadian Mounted Police","Royal Canadian Mounted Police have a requirement for exterior ground work and parking lot paving at the existing RCMP detachment located at 65 West Street, St Anthony, Newfoundland. In general, the contractor is expected to supply and install all material to complete the following:  •	Landscaping,  •	ground works  •	Addition of asphalt parking stalls/driveways  •	Pavement markings •	New concrete sidewalks •	New parking signage along with relocation of existing site signage •	New stairs to the entrance of building •	Insulating of existing underground water service to building  Please refer to Specification and Project Details for further details.  INQUIRIES: All inquiries of a technical nature and all questions of a contractural nature are to be submitted to the Contracting Authority: Debbie Bungay, debbie.bungay@rcmp-grc.gc.ca, facsimile: (902) 426-7136. Inquiries are to be made in writing and should be received no less than five (5) calendar days prior to the closing date to allow sufficient time to respond. Inquiries made via telephone will not be responded to. Firms intending to submit tenders on this project should obtain tender documents through the Buy and Sell Website.  Amendments, if issued, will be available from the Buy and Sell Website. Firms that elect to base their bids on tender documents obtained from other sources do so at their own risk and will be solely responsible to inform the tender calling authority of their intention to bid.                The Crown retains the right to negotiate with any suppliers on any procurement. Documents may be submitted in either language of Canada. This requirement is subject to the Agreement on Internal Trade (AIT).Delivery Date: Above-mentioned","Bungay, Debbie, 902-720-5110, 902 426-7136, 80 Garland Avenue, Mail Stop H-066 Dartmouth  NS B3B 0J8 CA, 80 Garland Avenue, Mail Stop H-066 Dartmouth  NS B3B 0J8 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/192509aaff8ab4045355fa7270f8106b/itt_english_st_anthony_paving.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/77b5b6201e577b3f696d30b0ec918006/itt_french_st_anthony_paving.pdf","https://buyandsell.gc.ca/cds/public/2014/04/29/2a77df71c6e3f08bf815d7c40f0f0558/c2_drawing.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/77c8850ca5bfd20db605f65710d8f832/c1_drawing.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/ef276707c0425dde3439fd83296cfe45/cover_page.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/afaf642859e816ca85f00727ea8a0e3f/specification_st_anthony_2014.pdf"
"French","Paver le stationnement du détachement de la GRC situé au 65, rue West, à St. Anthony, Terre-Neuve (M1010-5-0187)","PW-14-00632902","M1010-5-0187","000","2014-04-29","2014-05-20 14:00 Atlantic Daylight Time (ADT)","","Active","51: Construction Services","Newfoundland and Labrador","Newfoundland and Labrador","AO-ITT","Agreement on Internal Trade (AIT)","Open","","","Royal Canadian Mounted Police","Royal Canadian Mounted Police","La Gendarmerie royale du Canada souhaite faire à paver le stationnement du détachement de la GRC situé au 65, rue West, à St. Anthony, Terre-Neuve. L’entrepreneur devra fournir et installer le matériel pour effectuer les travaux suivants :  •	Aménagement paysager  •	Terrassement •	Ajout de places de stationnement pavées  •	Marques sur la chaussée du stationnement •	Nouveaux trottoirs en béton  •	Nouvelle signalisation et déplacement de la signalisation existante dans le stationnement •	Nouvelles marches à l’entrée du détachement  •	Isolation de la canalisation d’eau souterraine du bâtiment.  Pour de plus amples renseignements, veuillez vous reporter à l’appel d’offre et aux détails du projet.  Les travaux doivent être effectués conformément aux spécifications et aux schémas ci-joints. DEMANDES DE RENSEIGNEMENTS : Les demandes de renseignements de nature technique et les questions concernant le marché doivent toutes être soumises à l'autorité contractante Debbie Bungay, à l'adresse debbie.bungay@rcmp-grc.gc.ca, télécopieur 902-426-7136. Les demandes de renseignements doivent être reçues, par écrit, au moins cinq (5) jours civils avant la date de clôture de l'appel d'offres afin de donner assez de temps à l'autorité contractante d'y répondre. On ne répondra pas aux demandes de renseignements faites par téléphone.  Les fournisseurs de services qui prévoient soumissionner doivent obtenir le dossier d’appel d’offres auprès du fournisseur de services Achatsetventes.gc.ca/appels-d-offres. Le cas échéant, toute modification au contrat sera également disponible auprès de Achatsetventes.gc.ca/appels-d-offres. Les fournisseurs qui choisissent de soumissionner en se servant d’un dossier d’appel d’offres fourni par d’autres sources le font à leurs propres risques et il leur incombe à eux seuls d’informer le service d’appel d’offres de leur intention de soumissionner. L'État se réserve le droit de négocier les conditions de tout marché avec les fournisseurs. Les documents peuvent être présentés dans l'une ou l'autre des langues officielles du Canada.Ce marché est assujetti aux disposition de l'Accord sur le commerce intérieur (ACI).Date de livraison : Indiquée ci-dessus.","Bungay, Debbie, 902-720-5110, 902 426-7136, 80 Garland Avenue, Mail Stop H-066 Dartmouth  NS B3B 0J8 CA, 80 Garland Avenue, Mail Stop H-066 Dartmouth  NS B3B 0J8 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/192509aaff8ab4045355fa7270f8106b/itt_english_st_anthony_paving.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/77b5b6201e577b3f696d30b0ec918006/itt_french_st_anthony_paving.pdf","https://buyandsell.gc.ca/cds/public/2014/04/29/2a77df71c6e3f08bf815d7c40f0f0558/c2_drawing.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/77c8850ca5bfd20db605f65710d8f832/c1_drawing.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/ef276707c0425dde3439fd83296cfe45/cover_page.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/afaf642859e816ca85f00727ea8a0e3f/specification_st_anthony_2014.pdf"
"English","Plumbing Repair and Maintenance Services on Granville Island, Vancouver, British Columbia (201401212)","PW-14-00632910","201401212","000","2014-04-29","2014-05-20 14:00 Eastern Daylight Time (EDT)","","Active","5161AB: PLUMBING CONTRACTOR SERVICES","Canada","British Columbia","DP-RFQ","None","Open","","","Canada Mortgage & Housing Corporation","Canada Mortgage & Housing Corporation","CMHC wishes to enter into a contract with a qualified contractor to provide plumbing repair and maintenance services – including emergency repair services - throughout Granville Island on an as required basis. The plumbing services include, but are not limited to:    •	Repair water leaks •	Service sump pumps •	Replace hot water tanks •	Replace float switches •	Relocate water lines •	Repair and unplug drain pipes •	Replace toilets and sinks as needed •	Remove and replace water meters •	Clean out and repair sanitary, storm and main sewer lines •	Remove and replace worn out plumbing and related heating components   The initial term of this contract is expected to be for 3 years and the annual value is expected to range from $25K- $50K, including all applicable taxes. Submissions must be received at the exact location as specified in the RFQ document on or before the submission deadline of 2:00 p.m. EDT, on May 20, 2014.  Please note that CMHC will not distribute solicitation documents that are posted on buyandsell.gc.ca. Suppliers must download the solicitation document and attachments directly from the tender page.","Attia, Camille, 613-748-5332, 613-748-2998, 700 Montreal Rd Ottawa  ON K1A 0P7 CA, 700 Montreal Rd Ottawa  ON K1A 0P7 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/81cc644e65c2081074791db56548d467/rfq_201401212_plumbing_services_en.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/387aa7066aaa3e0e77883f2ccd108737/rfq_201401212_french_document.pdf",""
"French","Services de réparation et d’entretien de la plomberie à Granville Island, Vancouver (Colombie-Britannique) (201401212)","PW-14-00632910","201401212","000","2014-04-29","2014-05-20 14:00 Eastern Daylight Time (EDT)","","Active","5161AB: PLUMBING CONTRACTOR SERVICES","Canada","British Columbia","DP-RFQ","None","Open","","","Canada Mortgage & Housing Corporation","Canada Mortgage & Housing Corporation","La SCHL désire conclure un contrat avec un proposant admissible pour la prestation de services de réparation et d’entretien et de services de réparation d’urgence de la plomberie à Granville Island en fonction des besoins. Ces services comprennent notamment :   •	Réparer les fuites d’eau; •	Entretenir les pompes de puisard; •	Remplacer les chauffe-eau; •	Remplacer les manostats; •	Réinstaller les conduits d’eau; •	Réparer et débrancher les tuyaux d’évacuation; •	Remplacer les toilettes et les éviers au besoin; •	Retirer et remplacer les compteurs d’eau; •	Nettoyer et réparer les conduites d’égouts collecteurs, sanitaires et pluviaux; •	Retirer et remplacer les composants de plomberie et de chauffage connexes lorsqu’ils sont détériorés.   La durée initiale prévue pour ce contrat est de 3 ans et sa valeur annuelle sera de 25 000 $ à 50 000 $, toutes taxes comprises. Les propositions doivent parvenir exactement à l’endroit indiqué dans le document de demande de prix au plus tard à 14 h (HNE), le 20 mai 2014.  Veuillez prendre note que la SCHL ne distribue pas les documents d’invitation à soumissionner qui sont affichés sur achatsetventes.gc.ca. Les fournisseurs doivent télécharger le document d’invitation à soumissionner et les pièces jointes à partir de la page d’appel d’offres.","Attia, Camille, 613-748-5332, 613-748-2998, 700 Montreal Rd Ottawa  ON K1A 0P7 CA, 700 Montreal Rd Ottawa  ON K1A 0P7 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/81cc644e65c2081074791db56548d467/rfq_201401212_plumbing_services_en.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/387aa7066aaa3e0e77883f2ccd108737/rfq_201401212_french_document.pdf",""
"English","Vector Graphics Software (1000313645)","PW-14-00632912","1000313645","000","2014-04-29","2014-06-09 14:00 Eastern Daylight Time (EDT)","","Active","N7030: ADP Software","World","Canada","DDP-RFP","Agreement on Internal Trade (AIT) Canada-Chile Free Trade Agreement (CCFTA) Canada-Colombia Free Trade Agreement Canada-Panama Free Trade Agreement Canada-Peru Free Trade Agreement (CPFTA) North America Free Trade Agreement (NAFTA) World Trade Organization-Agreement on Government Procurement (WTO-AGP)","Open","","","Canada Revenue Agency","Canada Revenue Agency","The Canada Revenue Agency (CRA) intends to enter into a Contract with a single contractor for the supply and delivery of Commercial Off-The-Shelf (COTS) Vector Graphics software.  This requirement includes options to purchase additional Vector Graphics software licenses and maintenance and support as described in the solicitation documents.  The period of any resulting contract will be for one (1) year with CRA retaining the irrevocable option to extend for up to seven (7) additional one (1) year periods.  A detailed statement of requirement and information regarding bidding requirements is contained in the Request for Proposal document available exclusively via https://buyandsell.gc.ca/procurement-data/tenders  Questions may be directed in writing to the contracting authority via email: angela.clatney@cra-arc.gc.ca","Clatney, Angela, 613-995-4756, 250 Albert Street Ottawa  ON K1A 0L5 CA, 250 Albert Street Ottawa  ON K1A 0L5 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/db9153742b6ebd59a705336e461a7da9/vector_graphics_rfp_eng_final.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/b72dd5d867757a040cd9ae9f40515ed3/vector_graphics_rfp_french_final.pdf",""
"French","Logiciels de Graphiques Vectoriel (1000313645)","PW-14-00632912","1000313645","000","2014-04-29","2014-06-09 14:00 Eastern Daylight Time (EDT)","","Active","N7030: ADP Software","World","Canada","DDP-RFP","Agreement on Internal Trade (AIT) Canada-Chile Free Trade Agreement (CCFTA) Canada-Colombia Free Trade Agreement Canada-Panama Free Trade Agreement Canada-Peru Free Trade Agreement (CPFTA) North America Free Trade Agreement (NAFTA) World Trade Organization-Agreement on Government Procurement (WTO-AGP)","Open","","","Canada Revenue Agency","Canada Revenue Agency","L'Agence du revenu du Canada (ARC) a l'intention de conclure un contrat avec un entrepreneur unique pour la fourniture et la livraison de logiciels commerciaux prêt à l'emploi (LCPE) de Graphiques Vectoriel.  Ce besoin comprend également des options concernant l'achat de licenses de logiciels Graphiques Vectoriel supplémentaires et la maintenance et le support comme il est mentionné dans les documents de la demande de soumission.  La période de tout contrat qui en découle sera de un (1) an et l’ARC se réserve le droit d’exercer l’option irrévocable de la prolonger jusqu’à un maximum de sept (7) périodes supplémentaires de un (1) an.  Un énoncé des besoins détaillé et des renseignements sur les exigences liées à l’appel d’offres se trouvent dans la demande de proposition affichée exclusivement sur https://achatsetventes.gc.ca/donnees-sur-l-approvisionnement/appels-d-offres  Vous pouvez acheminer vos questions à l’autorité contractante par courriel à: angela.clatney@cra-arc.gc.ca","Clatney, Angela, 613-995-4756, 250 Albert Street Ottawa  ON K1A 0L5 CA, 250 Albert Street Ottawa  ON K1A 0L5 CA","https://buyandsell.gc.ca/cds/public/2014/04/29/db9153742b6ebd59a705336e461a7da9/vector_graphics_rfp_eng_final.pdf, https://buyandsell.gc.ca/cds/public/2014/04/29/b72dd5d867757a040cd9ae9f40515ed3/vector_graphics_rfp_french_final.pdf",""
"English","Port Hardy Airport - Perimeter Fence Replacement, Repair (EZ899-150063/A)","PW-$PWY-026-7247","EZ899-150063/A","000","2014-04-29","2014-05-20 14:00 Pacific Daylight Time (PDT)","2014-04-29","Active","5166B: Fencing and Railing Work","","British Columbia","APM-NPP","Agreement on Internal Trade (AIT)","All interested suppliers may submit a bid","Lowest/Lower Bid","","Public Works & Government Services Canada","Public Works & Government Services Canada","Trade Agreement: Agreement on Internal Trade (AIT) Tendering Procedures: All interested suppliers may submit a bid Attachment: YES (MERX) Electronic Competitive Procurement Strategy: Lowest/Lower Bid Comprehensive Land Claim Agreement: No Nature of Requirements:  Solicitation No:   EZ899-150063/A Contracting Authority: Liu, Patty Telephone No. - (604) 775-6227  Fax No. - (604) 775-6633   Title: Port Hardy Airport - Perimeter Fence Replacement & Repair  Location:  Port Hardy Airport, Port Hardy, B.C.   Work Description: The work is located at the Transport Canada Airport Facility at 3675 Byng Road, Port Hardy, BC.  The site of work is on the federally owned land on which the airport facilities are located.  The principal works to be executed and for which all materials, plant and labour are to be supplied by the Contractor as shown in the plans and specifications: 1.  Replacement of approximately 1430 linear metres of existing plastic fencing with chain link fencing. 2.  Various repairs to approximately 2145 linear metres of existing chain link fencing. 3.  Removal of brush, trench excavation along the fence line and installation of buried mesh along approximately 2200 linear metres of existing chain link fence. 4.  Removal of brush along approximately 572 linear metres of existing chain link fence. 5.  Remove and replace five (5) existing pedestrian gates in the perimeter fence. 6.  Install three (3) new vehicle gates.  Replace one (1) existing vehicle gate with a new chain link fence vehicle gate.  Reuse one (1) existing vehicle gate in a new location. 7.  Install five (5) one-way deer gates along the fence line.   Site Visit: A site visit is scheduled on May 13, 2014 @ 10:00 am PDST time.  Bidders are to meet at the Maintenance Garage (first beuilding to the left after the gated parking compound) located at 3675 Byng Road, Port Hardy Airport, Port Hardy, B.C.  Note: All contractors must wear a high visibility vest and safety boots.   Delivery Date: The work shall commence immediately upon official notification of acceptance of tender by the Contracting Authority and is to be completed within eight (8) of contract award.  Enquiries:   Patty Liu, Supply Specialist  Tel: (604) 775-6227 Fax:  (604) 775-6633 Email:  patty.liu@pwgsc.gc.ca  Value of Project: To assist with bonding and insurance requirements, this project is estimated to cost between $300,000 and $350,000.   Firms intending to submit tenders on this project should obtain tender (solicitation) documents through Buyandsell.gc.ca/tenders. Addenda, when issued will be available from Buyandsell.gc.ca/tenders. Firms that elect to base their bids on tender (solicitation) documents obtained from other sources do so at their own risk and will be solely responsible to inform the tender calling authority of their intention to bid.   This procurement office provides procurement services to the public in English. Delivery Date: Above-mentioned  The Crown retains the right to negotiate with suppliers on any procurement.  Documents may be submitted in either official language of Canada.","Liu (PWY), Patty, (604) 775-6227 (    ), (604) 775-6633, 800 Burrard Street, Room 219 800, rue Burrard, pièce 219 Vancouver British C V6Z 0B9, 800 Burrard Street, Room 219 800, rue Burrard, pièce 219 Vancouver British C V6Z 0B9","https://buyandsell.gc.ca/cds/public/2014/04/28/33342ceb897212244c428d742dbfc18a/ABES.PROD.PW_PWY.B026.E7247.EBSU000.PDF, https://buyandsell.gc.ca/cds/public/2014/04/28/38bf8e02c1ca2ce0d9b34db19e7c983a/ABES.PROD.PW_PWY.B026.F7247.EBSU000.PDF",""
"French","Aéroport de Port Hardy - Remplacement et réparation de la clôture périmétrique (EZ899-150063/A)","PW-$PWY-026-7247","EZ899-150063/A","000","2014-04-29","2014-05-20 14:00 Pacific Daylight Time (PDT)","2014-04-29","Active","5166B: Fencing and Railing Work","","British Columbia","APM-NPP","Agreement on Internal Trade (AIT)","All interested suppliers may submit a bid","Lowest/Lower Bid","","Public Works & Government Services Canada","Public Works & Government Services Canada","Entente sur le commerce : Accord sur le commerce intérieur (ACI) Processus de demande des soumissions : Tout fournisseur intéressé peut présenter une soumission Pièce jointe : Oui (MERX) Électronique Stratégie d'approvisionnement concurrentielle : Soumissionnaire le moins-disant Entente sur les revendications territoriales globales : Non Nature des besoins :    Demande de soumissions : EZ899-150063/A Autorité contractante : Liu, Patty Téléphone : 604-775-6227  Télécopieur : 604-775-6633  Titre Aéroport de Port Hardy - Remplacement et réparation de la clôture périmétrique  Emplacement  Aéroport de Port Hardy, Port Hardy (C.-B.)   Description des travaux Les travaux à effectuer sont situés aux installations aéroportuaires de Transports Canada au 3675, chemin Byng, à Port Hardy (C.-B.). Les lieux des travaux se trouvent sur des terres fédérales sur lesquelles sont situées les installations aéroportuaires.  Les principaux travaux à effectuer et pour lesquels l'Entrepreneur devra fournir tous les matériaux, toutes les installations et toute la main-d'oeuvre nécessaires, selon les plans et devis, sont les suivants: 1.  le remplacement d'approximativement 1430m lin. de clôtures en plastique existantes par des clôtures à mailles losangées; 2.  diverses réparations à approximativement 2145m lin. de clôtures à mailles losangées existantes; 3.  le débroussaillage et l'excavation de tranchées le long des clôtures et l'installation d'un treillis enfoui le long d'environ 2200m lin. de clôtures à mailles losangées existantes; 4.  le débroussaillage le long d'approximativement 572m lin. de clôtures à mailles losangées existantes; 5.  l'enlèvement et le remplacement de cinq (5) barrières piétonnes existantes dans la clôture périmétrique; 6.  l'installation de trois (3) nouvelles barrières pour véhicules. Le remplacement d'une (1) barrière pour véhicules existante par une nouvelle barrière pour véhicules en clôture à mailles losangées. La réutilisation d'une (1) barrière pour véhicules existante à un nouvel emplacement; 7.  l'installation de cinq (5) barrières pour cerfs unidirectionnelles le long de la clôture.   Visite des lieux Une visite des lieux est prévue le 13mai2014 à 10h, heure avancée du Pacifique. Les soumissionnaires doivent se présenter au garage d'entretien (premier bâtiment à la gauche après le parc de stationnement protégé par barrière) situé au 3675, chemin Byng, aéroport de Port Hardy, à Port Hardy (C.-B.).  Remarque: Tous les entrepreneurs doivent porter un gilet de haute visibilité et des bottes de protection.   Date de livraison: L'entrepreneur doit exécuter et compléter les travaux dans les 8 semaines à partir de l'avis de l'acceptation de l'offre.  Questions sur la soumission:   Patty Liu, Spécialiste en approvisionnement Tel: (604) 775-6227 Fax:  (604) 775-6633 Email:  patty.liu@pwgsc.gc.ca  Valeur du projet: Pour aider avec toute exigence en matière d'assurances, le coût estimatif de ce projet se situe entre 300 000$ et  350000$.  Les entreprises qui souhaitent présenter des offres pour ce projet devraient se procurer les documents d'appel d'offres (soumission) auprès de .Buyandsell.gc.ca/tenders Si des addenda sont ajoutés, ils seront disponibles auprès de .Buyandsell.gc.ca/tenders Les entreprises qui choisissent de présenter une soumission sur la base d'un dossier de soumission obtenu d'une autre source le font à leurs risques et seront entièrement tenues d'informer l'autorité contractante de leur intention de soumissionner.   Ce bureau de TPSGC fournit des services d'achat au public en anglais. Date de livraison : Indiquée ci-dessus  L'État se réserve le droit de négocier les conditions de tout marché avec les fournisseurs.  Les documents peuvent être présentés dans l'une ou l'autre des langues officielles du Canada.","Liu (PWY), Patty, (604) 775-6227 (    ), (604) 775-6633, 800 Burrard Street, Room 219 800, rue Burrard, pièce 219 Vancouver British C V6Z 0B9, 800 Burrard Street, Room 219 800, rue Burrard, pièce 219 Vancouver British C V6Z 0B9","https://buyandsell.gc.ca/cds/public/2014/04/28/33342ceb897212244c428d742dbfc18a/ABES.PROD.PW_PWY.B026.E7247.EBSU000.PDF, https://buyandsell.gc.ca/cds/public/2014/04/28/38bf8e02c1ca2ce0d9b34db19e7c983a/ABES.PROD.PW_PWY.B026.F7247.EBSU000.PDF",""
